"romaji","hiragana","definition","priority","type","japanese"
"no","の","genitive case marker","1","Particle","の"
"ni","に","particle for indirect objects; to","2","Particle","に"
"suru","する","to do","3","Verb","する"
"wa","は","a particle that acts as a topic marker","4","Particle","は"
"o","を","a grammatical marker following the direct object.","5","Particle","を"
"ga","が","Indicates the subject of a sentence.","6","Particle","が"
"to","と","with","7","Particle","と"
"-nen","ねん","years","8","Counter","年"
"de","で","indicating a location at which something happens","9","Particle","で"
"da","だ","A particle used when a sentence has a nominal as its predicate, usually but not always equal to the English verb to be.","10","Verb","だ"
"tsuki","つき","the moon","11","Noun","月"
"mo","も","too, also, so","12","Particle","も"
"kara","から","from, out of","13","Particle","から"
"hi","ひ","sun","14","Noun","日"
"naru","なる","become","15","Verb","成る"
"koto","こと","thing, matter","16","Unknown","こと"
"aru","ある","to exist (inanimate objects)","17","Verb","有る"
"yoru","よる","be based on, depend on, be due to - (at most case)","18","Unknown","よる"
"ya","や","and","19","Particle","や"
"nado","など","for example, things like, such as, etc., and so on","20","Particle","など"
"iu","いう","to say, to tell somebody","21","Verb","言う"
"Nihon","にほん","Japan","22","Proper noun","日本"
"tame","ため","benefit","23","Noun","為"
"kono","この","(deictically) this ... (near the speaker)","24","Adnominal","この"
"hito","ひと","person; human","25","Noun","人"
"sono","その","(deictically) that ... near you (near the addressee)","26","Adnominal","その"
"made","まで","until, up to, as far as","27","Particle","まで"
"mono","もの","thing","28","Noun","もの"
"e","へ","to, towards (indicates a destination or movement toward something)","29","Particle","へ"
"Error","","","30","",""
"kore","これ","(deictically) this one (near the speaker)","31","Pronoun","これ"
"okonau","おこなう","To perform; to do; to conduct oneself; to carry out.","32","Verb","行う"
"yō","よう","Alternative form of 様.","33","Unknown","よう"
"dekiru","できる","to be able to do","34","Verb","出来る"
"eki","えき","station (train, underground/subway)","35","Noun","駅"
"kuni","くに","a land, a large place","36","Noun","国"
"yori","より","than; rather than; more so than","37","Particle","より"
"daigaku","だいがく","a university; a college","38","Noun","大学"
"genzai","げんざい","the present, now","39","Noun","現在"
"ato","あと","(spatially) the back, the rear, behind","40","Noun","後"
"-ka","か","lessons, chapters","41","Counter","か"
"sen","せん","line","42","Noun","線"
"-nu","ぬ","","43","Suffix","ぬ"
"hōsō","ほうそう","broadcast (a radio or TV transmission on air)","44","Noun","放送"
"gō","ごう","number","45","Noun","号"
"gun","ぐん","army; force; military","46","Noun","軍"
"nai","ない","nonexistent","47","Unknown","無い"
"-bu","ぶ","copies of a newspaper or magazine","48","Counter","部"
"motsu","もつ","to hold, to carry something","49","Verb","持つ"
"-sho","しょ","places","50","Counter","所"
"na","な","name","51","Noun","名"
"-mawari","まわり","a turn, times around something","52","Counter","回"
"sekai","せかい","the world","53","Noun","世界"
"toki","とき","time","54","Noun","時"
"ikusa","いくさ","a battle or war","55","Noun","戦"
"jidai","じだい","age, era, period (of time)","56","Noun","時代"
"tōkyō","とうきょう","an eastern capital","57","Noun","東京"
"oku","おく","108 = 100×10⁶ = 100 million","58","Unknown","おく"
"de mo","でも","even","59","Particle","でも"
"yobu","よぶ","to call; to call out","60","Unknown","呼ぶ"
"sonogo","そのご","then","61","Unknown","その後"
"kai","かい","meeting, gathering","62","Noun","会"
"sore","それ","(deictically) that one near you (near the addressee)","63","Pronoun","それ"
"ki","き","a machine, a device; a contraption","64","Noun","機"
"au","あう","to meet with, see, meet again or for the first time","65","Verb","会う"
"ukeru","うける","receive; get","66","Verb","受ける"
"ōi","おおい","there are many, there is much, there are numerous","67","Adjective","多い"
"senshu","せんしゅ","player, at variety of sports, or games.","68","Unknown","選手"
"baai","ばあい","case (as in in that case), occasion","69","Noun","場合"
"taisuru","たいする","face each other","70","Unknown","対する"
"shikashi","しかし","but; however","71","Conjunction","しかし"
"tsuku","つく","to stick, to adhere","72","Unknown","つく"
"Shōwa","しょうわ","The Shōwa era; the Japanese era beginning on December 25 1926 and ending on January 7 1989.","73","Proper noun","昭和"
"sakuhin","さくひん","a work, especially a work of art such as a performance, a painting, a piece of pottery, etc.","74","Noun","作品"
"ji","じ","earth, dirt","75","Noun","地"
"naka","なか","inside","76","Noun","中"
"shiyō","しよう","use, usage","77","Noun","使用"
"tomo ni","ともに","together, with","78","Unknown","共に"
"gakkō","がっこう","school (institution dedicated to teaching and learning)","79","Noun","学校"
"go","ご","word","80","Noun","語"
"ka","か","that, yon","81","Pronoun","彼"
"iku","いく","to go&#160;; to come to your place","82","Verb","行く"
"Amerika","アメリカ","America (as in North or South America)","83","Proper noun","アメリカ"
"tōji","とうじ","then, at that time","84","Noun","当時"
"bangumi","ばんぐみ","program (as in TV program); programming","85","Noun","番組"
"kuruma","くるま","a car, an automobile, a carriage, a cart","86","Noun","車"
"yashiro","やしろ","a shrine","87","Noun","社"
"kawa","かわ","river, stream, brook","88","Noun","川"
"eiga","えいが","movie, film","89","Noun","映画"
"i","い","rank, place","90","Affix","位"
"miru","みる","to see, to watch, to observe, to look at something","91","Verb","見る"
"terebi","テレビ","Clipping of テレビジョン (terebijon, “television”); a TV","92","Noun","テレビ"
"-kei","けい","system, family","93","Suffix","系"
"kenkyū","けんきゅう","a piece of research, a study, investigation","94","Noun","研究"
"machi","まち","town","95","Noun","町"
"Tō","とう","A surname​.","96","Proper noun","東"
"sonzai","そんざい","existence","97","Unknown","存在"
"katsudō","かつどう","activity, work, operation","98","Unknown","活動"
"hatsubai","はつばい","sale, the selling of something","99","Noun","発売"
"hoka","ほか","another, other, some other","100","Noun","他"
"shusshin","しゅっしん","hometown, the place one comes from","101","Unknown","出身"
"nendai","ねんだい","age, era, period","102","Noun","年代"
"kaisha","かいしゃ","(business) a company","103","Noun","会社"
"-ken","けん","right to do something, authority","104","Suffix","権"
